,name,summary
278,The Big Sleep,"Private investigator Philip Marlowe is called to deal with a blackmail attempt by a bookseller named Arthur Geiger on his wild young daughter Carmen. He rushes in to find Geiger dead and Carmen drugged and naked in front of an empty camera. The next day, the police call him and let him know the Sternwoods' car was found driven off a pier with their chauffeur dead inside. Vivian comes to his office and says Carmen is now being blackmailed with the nude photos from last night. She also mentions going gambling at the casino of Eddie Mars, and volunteers that Eddie's wife Mona ran off with Rusty Regan. She frees Rusty and shoots him and says she only came out to help Eddie, but he insists he didn't kill her and he shoots her back. They go to an abandoned field where she tries to kill him but he has guessed the truth and tells her he came on her and refused to kill her. The case is now over, but MarlowE is nagged by Regan's disappearance. The police accept that he simply ran off. with Mona Mars, since she is also missing and Eddie Mars wouldn't risk committing a murder where he'd be the obvious suspect. The film ends on a cliffhanging cliffhanger with a cliff that looks like it could be the entrance to the Great Barrier Reef. The movie was directed by Robert Altman and is based on a novel by the same name by Michael O'Neill. For more information on the film, visit the film's website or watch the movie's official website at: http://www.cnn.com/2013/01/29/the-great-clash-of-the-cliffhanger-of the-greatest-climb-of all-time-in-film-michael-altman-says-that-it-wasn't-as-bad as it-looked-to-be-first-and-second-times-told-by-thefilm-director-michaele-lake-and the-film and-the film-company at-the end of the film says it was bad and wasn’t the real reason for the carnival investigation in the first place. It was also the inspiration for the film ""The Godfather,"" starring Tom Hanks and James Bond."
279,The State of the Art,"At 100 pages long, the title novella makes up the bulk of the book. chronicles a Culture mission to Earth in the late Seventies. It also serves as a prequel of sorts to Use of Weapons by featuring one of that novel's characters, Diziet Sma. Here, Sma argues for contact with Earth, to try to fix the mess the human species has made of it. Another Culture citizen, Linter, goes native, choosing to renounce his Culture body enhancements so as to be more like the locals. Li, who is a Star Trek fan, argues that the whole 'incontestably neurotic and clinically insane species' should be eradicated with a micro black hole. The ship Arbitrary has ideas, and a sense of humour, of its own. 'Also while I'd been away, the ship had sent a request on a postcard to the BBC's World Service, asking for 'Mr David Bowie's ""Space Oddity"" for the good ship arbitrary and all who sail in her.' It didn't get the request played, but the ship thought this was hilarious.' The book is published by Simon & Schuster, priced £16.99. It is available in hardback, paperback and e-book. For more information on The State of the Art, or to order your copy, visit www.simonandschuster.co.uk/the-state-of-the-art or call the author on 0203 615 6051 or email jennifer.smith@mailonline.com. For a copy of The State Of The Art, go to www.samaritans.com/The-State-Of-The-Art/The State- Of-The Art Piece - The State of The State of the Art- The State of the Art is a collection of short stories written by the author over the course of a few years, with a selection of the most recent being published in 2012. For the full list of the books, visit the author's official website. For further information on the book, visit http://www.simonsmith.com/. For more on the author and his work, visit his website, www.jennifersmith.com or the author's website, The Author and the Editor and Editor-in-Chief of The Culture, respectively."
280,The Player of Games,"Jernau Morat Gurgeh, a famously skilful player of board games and other similar contests, lives on Chiark Orbital, and is bored with his successful life. The Culture's Special Circumstances inquires about his willingness to participate in a long journey, though won't explain further unless he agrees to participate. One of his drone friends, Mawhrin-Skel, convinces him to cheat in one of his matches in an attempt to win in an unprecedented perfect fashion. He accepts the offer and spends the next two years travelling to the Empire of Azad in the Small Magellanic Cloud, where a complex game is used to determine social rank and political status. By the time he arrives, he has grasped the game but is unsure how he will measure up against opponents who have been studying it for their entire lives. As he advances through the tournament he is matched against increasingly powerful Azad politicians, and ultimately the Emperor himself in the final round. Faced with defeat, the Emperor attempts to kill GurgeH, but is himself killed by a shot from his own weapon, deflected by Flere-Imsaho (who later refuses to tell the reader if it was coincidental) It is ultimately revealed to the reader that Flere/Imsho was the same drone as Mawhr in Skel, who was also the narrator of the novel itself. The player's participation was part of a Culture plot to overthrow the corrupt and savage Empire from within, and that he, the player, was in fact a pawn in a much larger game. As a Culture citizen, he naturally plays with a style markedly different from his opponents, many of whom stack the odds against him one way or another, such as forming backroom agreements to cooperate against him (which is allowed by the game's rules). As he progresses through the tournaments he is match against increasingly power-hungry Azad officials, including the Emperor, who is ultimately killed by his own own weapon. The game itself is sufficiently subtle and complex that a player's tactics reflect his own political and philosophical outlook, and it is revealed that the player's style is very different from those of his opponents. It is also revealed that a drone who was ejected from Special Circumsstances due to its unstable personality, had been also ejected due to it's unstable personality. The drone who had been ejected was later admitted back into the club as well as the narrator, who later reveals that the drone had been the same one as the player."
281,Excession,"The Excession of the title is a perfect black-body sphere that appears mysteriously on the edge of Culture space. It appears to be older than the Universe itself and resists attempts of the Culture and technologically equivalent societies (notably the Zetetic Elench) to probe it. The Excession is what the Culture's social scientists describe as an Outside Context Problem, one which a society cannot foresee and is often fatal. The GSV Sleeper Service eventually takes control of the situation. Its name is the most meaningful pun in the story: outwardly it is an Eccentric (drop-out from the Culture) which dedicates its enormous resources to presenting tableaux of historical events (mainly battles) populated by passengers in suspended animation. But in fact it is a sleeping member of Special Circumstances, the culture's covert operations organization. It prepares to deploy this fleet during transit to the Excession. But it has an unresolved issue. Until a few decades previously, the ship operated under another name as a normal GSV, providing a habitat for a vast number of Culture citizens. Two of its passengers, Dajeil and Genar-Hofoen, had had an intense love-affair which ended badly. DajEil froze her pregnancy and subsequently remained in a state of intense depression for 40 years, and the ship changed its name to Sleeper service. It carried only one conscious humanoid passenger, and spent much of its attention trying to talk her out of her depression, for which it considered itself partly responsible. As a result, when the Culture asks Sleeper. Service to help in dealing with the threat of war, it demands that in return Genar. Hofoen must be handed over to it. It then unloads the passengers who had been part of its historical tableaux into engines, and easily outruns the very fast ship which other elements of the culture had asked to keep watch on it. When it arrives it becomes apparent it has previously converted the rest of its spare mass into a vast fleet of remote-controlled warships numbering in the area of 80, and in response to the Sleeper charging at it, triggers a multi-year Grid-light wave which threatens to obliterate its entire fleet. Only its Mindstate, transmitted at right at the right time by the accompanying Grey Area, saves it. At the same time war is averted. A prolonged conspiracy led the Culture to commit suicide which led the culture and the Affront to commit a prolonged conspiracy."
282,Look to Windward,"Major Quilan is offered the chance to avenge the lost Chelgrians who died in a civil war and is inducted into a plot to strike back at the Culture. As part of the plot, his ""soulkeeper"" is equipped with both the mind of a long-dead Chelgrian general and a device that can transport wormholes connected to weapons caches. Quilan succeeds in placing the wormholes in the Mind's Hub, but the Mind detects them immediately and suggests that the Involved ""aliens"" assisting Quilan's mission may have been a group of Culture minds seeking to keep the Culture from being too complacent. Having struggled with its memories from the Idiran-Culture war, the Mind reveals to Quilan that it seeks to cease existing and offers to take Quilan with it. They both die. It is not revealed whether this was a form of retribution by the Culture or a cover-up by a secret Culture faction. In the end of the novel, a nightmarishly efficient E-Dust Assassin is unleashed against the Chelgian priest who was responsible, as well as his immediate co-conspirators. It was the General Systems Vehicle Lasting Damage, when it was known as the General System. Lasting damage, was the cause of the civil war that resulted from the Culture's interference in Chelgians' politics. The novel was released on September 25, 2013. It has been described as a ""darkly comic"" and ""brutal"" read. The book is expected to be available in hardback and e-book versions in the next few months, with a release date of October 1, 2014. The author has not yet revealed the plot details of the book, but has said that the story will focus on Quilan and his quest to destroy the Orbital's Hub Mind. He has also said that he will not reveal the story's plot details until after the book has been published. He also has not said whether or not the book will be published in hard-back or paperback. It will be released in the UK on October 25, 2014, and in the U.S. on October 31, 2015, with the release date set for October 28, 2015. For more information on the book and its plot, visit the official website at: http://www.cinema-world.com/quilan/qilan-the-book-and-the.html. For the full story, click here."
283,Use of Weapons,"The book is made up of two narrative streams, interwoven in alternating chapters. The numbers of the chapters indicate which stream they belong to: one stream is numbered forward in words (One, Two...), while the other is numbered in reverse with Roman numerals (XIII, XII...) The story told by the former moves forward chronologically and tells a self-contained story, while in the latter is written in reverse chronology with each chapter successively earlier in Zakalwe's life. Further complicating this structure is a prologue and epilogue set shortly after the events of the main narrative, and many flashbacks within the chapters. It transpires that the payment he requires from Diziet Sma relates to an incident from his earlier life. The backward-moving stream describes earlier ""jobs"" he has performed for the Culture, ultimately returning to his pre-Culture career as a general on his homeworld. The forward-moving part of the novel deals with the attempts of Sma and a drone named Skaffen-Amtiskaw to re-enlist Zakal We for another ""job"" The task itself and the payment that ZakalWe wishes for it. It is ultimately revealed that the task itself relates to a previous incident from the Culture's history. The story is told in two parts: the first in words, and the second in reverse numerals. The book is published by Simon & Schuster at £16.99 (hardback) and £20 ( paperback) in the U.S. and £25 ( paperback and hardback) respectively. It was released in the UK in May 2013. It has been described as a ""masterpiece of science fiction"" and has been praised by critics as ""incredible"" and ""a masterpiece of science-fiction writing"" It has also been called ""the best book of the 21st century"" by The New York Review of Books. The author has also spoken of his desire to write a sequel to the novel, which is due to be released later this year. The novel is available for pre-order on Amazon.com for £12.99 ($14.99) with the option to buy the book in hardback for £15.99 (£16.95) and the option in paperback for £14.95 (£15.95). The book has been published in Australia and New Zealand, with a UK release date of September 2013. The U.K. release date for the book is September 2014."
284,"So Long, and Thanks for All the Fish","Arthur Dent has hitch-hiked through the galaxy and is dropped off on a planet in a rainstorm. He realises that he appears to be in England on Earth, even though he saw it destroyed by the Vogons. He manages to hitch a ride with a man named Russell, who is driving home his sister Fenchurch (Fenny for short) Russell explains that she had become delusional after worldwide mass hysteria over the ""hallucinations with the big yellow spaceships"" (Vogon Ships) Arthur becomes curious about Fenchurch, but they reach his home before he can ask more questions. Inside his still-standing home, Arthur finds a gift-wrapped bowl inscribed with the words ""So Long and Thanks..."" which he then uses for his Babel Fish. Arthur considers that Fenchurch is somehow connected to him and to the Earth's destruction, and finds that he still has the ability to fly whenever he lets his thoughts wander. He catches her hitchhiking and he learns more about her. He finds her home when he locates the cave he had lived in after crashing onto prehistoric Earth with the Golgafrinchans. As they talk they find more circumstances connecting them. They learn from the bowl's audio message that the dolphins, aware of the Vogon, left Earth for an alternate dimension but not before replacing the destroyed Earth with a new version and transporting everything to it as a way of saving humans. Arthur takes Fenchurch to the planet where God's Final Message to His Creation is written, and they happen across Marvin, who, because of previous events, is now approximately 37 times older than the known age of the universe and is barely able to continue. Marvin, with Arthur and Fenchurch's help, reads the Message (""We apologise for the inconvenience""), smiles, utters the final words ""I think... I feel good about it,"" and dies happily. Ford Prefect discovers that during an update of the ""Hitchhiker's Guide"", his previous entry for Earth, ""Mostly harmless"", has been replaced with the volumes of text he wrote during his research. Recognising that something is strange, Ford begins to hitchhike across the galaxy to reach Earth, eventually using the ship of a giant robot to land in the centre of London and causing a panic. In the chaos, Ford meets up with Fenchurch and together they commandeer the robot's ship. He obtains her phone number but loses it. The two travel to California to see John Watson, an enigmatic scientist who purports to know the cause of the dolphins' disappearance and who eschewed his original name in favour of ""Wonko the Sane"""
285,Choke,"Choke follows Victor Mancini and his friend Denny through a few months of their lives with frequent flashbacks to the days when Victor was a child. In the present day setting of the book, Victor is now a man in his mid-twenties who left medical school in order to find work to support his feeble mother who is now in a nursing home. He cannot afford the care that his mother is receiving so he resorts to being a con man. He consistently goes to various restaurants and purposely causes himself to choke mid-way through his meal, luring a ""good Samaritan"" into saving his life. He keeps a detailed list of everyone who saves him and sends them frequent letters about fictional bills he is unable to pay. The people feel so sorry for him that they send him cards and letters asking him about how he's doing and even continue to send him money to help him with the bills. He works at a re-enactment museum set in colonial times, where most of the employees are drug-addicts or, in Denny's case, a fellow recovering sex addict. Denny is later fired from the museum, and begins collecting stones from around the city to build his ""dream home;"" Palahniuk based this portion of the novel on the true story of Ferdinand Cheval. Victor first met Denny at a sexual addiction support group (he was there as a guy who masturbates too much), and they later applied together to the same job. Later on, he starts talking to his mother again for the first time in years. The narrative is episodic, and is presented out of chronological order, a style common to the author's books. This and his constant moves from one home to another have left Victor unable to form lasting and stable relationships with women. Victor, as a result, finds himself getting sexual gratification from women on a solely superficial level (using sex anonymous meetings to find many of his sexual partners). While growing up, Victor's mother taught him numerous conspiracy theories and obscure medical facts which both confused and frightened him. He is later able to form a relationship with his mother for first time since he was a young boy, and they begin talking to each other again. The novel is written in a style similar to that of author David Lean, with many of the events occurring in the first few chapters. It is set in New York City in the 1930s and 1940s, and the main character, Victor, is a medical student at the time."
286,A Friend of the Earth,"A Friend of the Earth is the story of Tyrone O'Shaughnessy Tierwater, a U.S. citizen born in 1950, half Irish Catholic and half Jewish. Tierwater is a committed ""Earth Forever!"" activist (an allusion to the radical environmental group Earth First!) in the 1980s. He suffers the loss of his first wife when their daughter is only three and of his daughter when she is only 25. In 2025, his ex-wife and stepmother to his daughter Sierra contacts him after more than 20 years. She and a friend of hers, April Wind, move in with Tierwater for April Wind to write a biography, or rather hagiography, of Sierra Tierwater who died in 2001 as a martyr to the environmentalist cause. In the final scene of the book, a teenaged girl comes hiking along the trail where the forest surrounding the dilapidated cabin would have been.Tierwater and Andrea, who again call themselves husband and wife now, have a glimmer of hope that life will soon be like life 30 years before, as the novel ends on an optimistic note. The book is published by Hodder & Stoughton, priced £16.99 (with p&p of £12.99). For more information on the book visit www.hodderandstoughton.co.uk or call the author on 020 3615 4157. For more on the author's other works, visit his website: http://www.jennifer-smith.com/friend-of-the-earth-novel-by-tyrone-o-shaughnessed-tierwater-and-sierra-tierwater-to-sir-sierra-tierra-terry-tirwater-tiger-tinderwater-2.html. For the full interview with Tyrone and Sierra, visit the author’s website: www.holly-smith-tirdwater.com. for more details on Sierra. The author is also available on Amazon.com for £14.99 ($17.99) and on the company's website: www.hollywood-bookshop.com For more about the author and her other works visit: http:www.amazon.com/. For the rest of the article, visit http: //www.justgiving.com /Tyrone O’Shaugnessy Tierwater and Sierra Tirwater."
287,In Search of Lost Time,"The novel recounts the experiences of the Narrator while growing up, participating in society, falling in love, and learning about art. The Narrator describes two walking paths: the way past Charles Swann’s home and the Guermantes way, both containing scenes of natural beauty. He discovers how appearances conceal the true nature of things, and tries writing a description of some nearby steeples. At the end of the novel, he dreams of visiting Venice or the Balbec, but he is too unwell and instead takes walks in the Champs-Élysées, where he meets Gilberte and befriends her father, now married to Mme de Norpois. The novel laments the nature of nature and laments that the old sights of the area are long gone, and he laments his parents’ marriage to the diplomat Noris de Noris, a fugitive of the French Revolution, who has gone to live with his wife in the U.S. A sonata by Vinteuil, which features a ‘little phrase,’ becomes the motif for their deepening relationship. The “little phrase” is played and Swann realizes Odette’S love for him is gone. He tortures himself wondering about her true relationships with others, but his love for her, despite renewing his love, gradually diminishes. He moves on and marvels that he ever loved a woman who was not the type of type he had always dreamed of. He is awed by the magic of their name, and is captivated when he first sees MME de Guermante. He describes their servant Françoise, who is uneducated but possesses an earthy wisdom and a strong sense of both duty and tradition. He meets an elegant “lady in pink” while visiting his uncle Adolphe. He learns Swann made an unsuitable marriage but has social ambitions for his beautiful daughter GilberTE. The Verdurins host M. de Forcheville; their guests include Cottard, a doctor; Brichot, an academic; Saniette, the object of scorn; and a painter, M. Biche. One guest is Odette de Crecy, a former courtesan who has met Swann and invites him to the group. Swann grows jealous of Odette, who now keeps him at arm's length, and suspects an affair between her and ForCheville, aided by the Verdurin."
288,Liza of Lambeth,"Liza Kemp is an 18-year-old factory worker and the youngest of 13 children. She is now living alone with her ageing and incompetent mother. She cannot really make up her mind as far as her love life is concerned. She very much likes Tom, a boy her age, but when he proposes to her she rejects him. Nevertheless she is persuaded to join a party of 32 who make a coach trip to a nearby village. On their way back, in the dark, Liza realizes that Jim Blakeston is making a pass at her by holding her hand. After their arrival back home, Jim manages to speak to her alone and to steal a kiss from her. Seemingly without considering either the moral implications or the consequences of her actions,. Liza feels attracted to Jim. They never appear together in public because they do not want the other residents of Vere Street or their workmates to start talking about them. The novel builds up to a sad climax when it gradually turns out that all men—maybe with the exception of Tom—are alike: They invariably beat their wives, especially when they have been drinking. Soon after their wedding Harry beats up Sally just because she has been away from home chatting with a female neighbour of theirs. What is more, he even hits Mrs Cooper, his mother-in-law. Liza's friend Sally gets married, has to stop working at the factory because her husband would not let his wife earn her own money, and soon becomes pregnant. She feels increasingly isolated, with Sally being married now and even Tom seemingly shunning her, but her love for Jim keeps her going. They do talk about their love affair though: about the possibility of Jim leaving his wife and children (""I dunno if I could get on without the kids""), about Liza not being able to leave her mother because the latter needs her help, about living somewhere else ""as if we was married"", about bigamy -- but, strangely, not about adultery. But in the end they do ""slide down into the darkness of the passage"". (The reader never learns whether at that time Liza is still a virgin or not.) Liza has a black eye the following morning because she is frightened of Jim's wife, who is pregnant again, and stops talking to her husband at home—this is her way of opposing his affair with Liza. She tells other people what she would do to Liza if she got hold of her, and the other people tell Liza to ""coward"" to the third person."
289,The Weirdstone of Brisingamen,"The Weirdstone of Brisingamen is a bracelet containing powerful white magic. It was used to seal the caves of Fundindelve, deep inside the hill of Alderley. The stone was stolen centuries before by a farmer whose milk-white mare Cadellin had bought to complete the numbers. Susan's mother passed it on to Susan, who is oblivious as to its history and purpose. Susan finally realizes the identity of the Weirdstone, and fearing its destruction, sets out to warn the wizard. The children set out to reclaim the stone on their own. They are successful but become lost in a labyrinth of mineshafts and caverns. At the climax of the story, a great battle takes place on a hill near alderley during which the children and their companions make a desperate last stand to protect the stone. However the enemy forces prove too strong and Durathror is mortally wounded. Grimnir takes the WeirdStone for himself and, in the ensuing chaos, Nastrond sends the great wolf Fenrir (in some editions Managarm) to destroy his enemies. As the remaining companions begin to despair, Cadelin appears and slays Grimnir, whom he reveals to be his own brother. The Morrigan flees in terror while Cadeelin uses the power of the weirdstone to subdue once again the forces of darkness. In some editions, Grimnir is revealed to be the brother of the Morrigan, who flees to safety. The book is published by Simon & Schuster and is available in hardback, paperback, and e-book. It is published in the UK by Macmillan, priced between £12.99 and £16.99. It has been released in the U.S. by Simon and Schuster, with a suggested retail price of £9.99, and in Australia by MacMillan, £12 and £14.99 respectively. The UK release date for the book is September 25, 2014. It will be available in the US on the same day as the UK release of The Hobbit and The Lord of the Rings: Through the Key of the Seven Wonders, by Simon and Schuster, in paperback and on the UK paperback edition of The Lord Of The Rings: The Return of the Sword, in hard-back, £16 and £18.99 each. The U.K. release date is September 26, 2014, and the U S. release of the book will be September 27, 2013."
290,The Human Stain,"Coleman Silk is a former classics professor and dean of faculty at Athena College, a fictional institution in the Berkshires of western Massachusetts. Silk is accused of racism by two black students because of referring to them as ""spooks"" Silk begins an affair with Faunia Farley, a 34-year-old local woman who works as a janitor at the college and is married to an abusive Vietnam veteran. Zuckerman gradually learns that Silk is an African American who has presented himself as Jewish (and white) since a stint in the Navy. He completed graduate school, married a white woman and had four children with her. (He never told his wife and children of his mixed ancestry.) As Roth wrote in the novel, Silk chose ""to take the future into his own hands rather than to leave it to an unenlightened society to determine his fate"" The novel is about a man who is forced out of his job after his wife dies of a stroke, which Silk feels is caused by the stress of his being forced out by the college. The novel was written by David Roth and is published by Simon & Schuster on November 14, 2013. The book is available in hardback and e-book versions for $24.99 and $28.99 respectively. It is published in the U.S. by Simon and Schuster, and in the UK by Macmillan, priced £16.99, £18.95 and £19.99. It has been translated into English as ""The Death and Life of Coleman Silk"" and ""The Power and the Death of Professor Silk"" by Philip K. Dick, published in paperback on November 15, 2013, by Simon&Schuster, priced $24, £16, £14, £9.99 ( paperback and hardback) and £14.99 ($24,99, paperback). The novel has been adapted into a film by Simon Schuster and directed by David Lean. The film is based on the novel by Nathan Zuckermans, who also directed the film version of ""The Godfather"" by Stephen King. The movie was released in the United States on November 16, 2013 and in Europe on November 17, 2013 (the UK release date is November 18, 2013). The film was directed by Spike Jonze, who is also the co-creator of the TV series ""Game of Thrones"" and the film is released in Australia on November 19, 2014, and the UK on November 20, 2014."
291,Picnic at Hanging Rock,"Picnic at Hanging Rock centers around a trip by a party of girls from Appleyard College, a fictitious upper class private boarding school. The excursion ends in tragedy when three of the girls, and later one of their teachers, mysteriously vanish while climbing the rock. No reason for their disappearance is ever given, and one of the missing girls who is later found has no memory of what has happened to her companions. A fourth girl who also climbed the rock with the group is of little help in solving the mystery, having returned in hysterics for reasons she cannot explain. The unsolvable mystery of the disappearances was arguably the key to the success of both the book and the subsequent film. The novel is written in the form of a true story, and even begins and ends with a pseudo-historical prologue and epilogue, adding to the overall feeling of mystery. However, while the geological feature, H hanging Rock, and the several towns mentioned are actual places near Mount Macedon, the story is not completely true. Valentine's Day, 14 February 1900 was a Wednesday, not a Saturday as depicted in the story. All attempts by enthusiastic readers to find historical evidence of the event, characters, or even Appleyards College, have proved fruitless. The book suggests that the fictional site of Applyard College might have been on the western side of Calder Highway/Black Forest Drive (C792), about 2–4&nbsp;km south of Woodend. Incidentally, in 1919 this school was transferred to the town of Wood end, Victoria, about 8&ngt;km southwest of H hanging rock. In 1980 a book of hypothetical solutions (by Yvonne Rousseau) was published, called The Murders at Hanged Rock. In fact, Lindsay's original draft included a final chapter in which the mystery was resolved. At her editor's suggestion, Lindsay removed it prior to publication. Chapter Eighteen, as it is known, was published posthumously in 1987 as The Secret of Hanging rock by Angus & Robertson Publishing. The film version of the book was released in 1987. It is based on Lindsay's experiences at Clyde Girls' Grammar School at East St Kilda, Melbourne, which Joan Lindsay attended as a day-girl while in her teens. The school was to some extent based on Clyde Girls’ Grammars School. In 1919, the school was moved to Woodend, Victoria. It was transferred in 1919."
292,"I, the Jury","Dr. Charlotte Manning runs a successful private psychiatric clinic on New York's Park Avenue. In order to increase her profit, she gets involved with a group of criminals &mdash; a ""syndicate"" specialising in both prostitution and drug-trafficking. The brains of the ""outfit"" is Hal Kines, who has had plastic surgery so that he looks much younger than he really is. When Manning sees some old college yearbooks whose contents (and photos), if made public, would expose Kines's double life, she has to act fast. She goes home but on the same night, undetected by Kathy, her maid, goes back to Williams's apartment and shoots him in the stomach using a silencer. She does so in a particularly sadistic way, watching him die slowly. None of the guests at Williams's party has a watertight alibi, but to both Pat Chambers, the cop investigating the murder, and Mike Hammer, a friend of his and private investigator, none of them has a motive either. When Mike Hammer sees Williams's body (""For the first time in my life I felt like crying""), he makes a solemn vow: he promises that he will find the murderer and execute him himself, avoiding the U.S. judicial system altogether. He says that if he left it to the courts to punish the perpetrator, some clever lawyer would surely achieve an acquittal and the murderer would get away with his crime. This is why he himself will be the jury &ndash; and the judge, for that matter. The immediate suspects Hammer finds himself confronted with are: Esther and Mary Bellemy, identical twins in their late twenties living in New York apartment, with a large estate somewhere in the country. Later, Hammer finds out through first-hand experience that Mary Belle my is a nymphomaniac, whom he never gets to know intimately, but is much more reserved than Esther. George Kalecki, whom Hammer knows to have been a crook, is a bootlegger, but who has obviously achieved a clean record and appears to be paying for the latter's tuition and giving him food and lodging. In fact, the other way round is it is George who is giving Hammer the bootleggers' money and giving it to him in a round round, in a way that is more precise than it is in the book. But each of them hopes he'll be the one to find the killer in the end."
293,Thinks ...,"The novel is exclusively set at the (entirely fictitious) University of Gloucester. It is based loosely on the University of York thanks to the author's brief residence there. Its action takes place in the spring term of 1997 (during the time of Tony Blair's landslide victory). ;Helen Reed, a young widow, arrives on campus to spend the term as ""writer-in-residence"" and to teach a creative writing class &mdash. Helen is going through a crisis in her life after the sudden death of her husband Martin a bit more than a year ago. She has not had sex since her husband's death, and, due to her Catholic upbringing, which she has been unable and, to a lesser degree, also unwilling to cast off completely, she tries to thrust aside any thoughts concerning an illicit affair or a one-night stand with Ralph Messenger, who is married with four children. ;Ralph Messenger's philandering is painfully obvious to Helen. Meanwhile, Helen tries to focus on her work, which is mainly about their work in Picknoons, which they started during the term. When Helen discovers that Messenger does not know anything about her real feelings, she thinks that he has passed at her prematurely and, by doing so, has spoiled her future liaison with him. She tells him unmistakably that she is not going to have an affair with him because, among other things, she strongly disapproves of him and by thinking of him, we learn that he is just thinking of her and just thinking about her. The novel is to a large extent about a small, ambitious group of students who meet on Tuesday and Thursday afternoons to work on their novels. The students are mainly made up of women who have just finished their D.Phil. degrees and who are ambitious and ambitious. The novels are mainly about the work in which they have started, and about their progress in getting to the point of writing them. The author has never finished her D. Phil. thesis on point of view in Henry James and her teaching experience so far has been limited to some night class on creative writing full of bored housewives. She is also intrigued by the department specialising in Cognitive Science, and by its head, 50 year-old Ralph Messenger. The Messengers live in a beautiful house near the University but they also have a country retreat in the Cotswolds (quite close to Gloucester) called 'Horseshoes', where they have a large redwood hot tub in their back garden."
294,The Adventures of Pinocchio,"The story begins in Tuscany. A carpenter has found a block of pinewood which he plans to carve into a leg for his table. When he begins, however, the log shouts out, ""Don't strike me too hard!"" Geppetto is extremely poor and plans to make a living as a puppeteer. He carves the block into a boy and names him ""Pinocchio"". As soon as Pinocchio's nose has been carved, it begins to grow longer and longer. After the puppet is finished, Geppeto teaches him to walk and Pinocchi runs out the door and away into the town. He is caught by a Carabiniere and imprisons by a carabineer who says that Geppesetto dislikes children. He meets a fox and a cat who convince him that if he plants his coins in the Field of Miracles, outside the city of Catchfools, then they will grow into a tree with a thousand gold coins, or perhaps two thousand. The ghost of the Talking Cricket appears, telling him to go home and give the coins to his father but he ignores him. As he passes through the forest, the disguised Cat and Fox jump out and try to rob Pinocchy, who hides the money in his mouth. The first two (an owl and a crow) are uncertain, but the Blue-haired Fairy sends a falcon and a poodle to tell her that he has been disobedient and make his father make him a marionette. After a while, the Fox and Cat get tired of the marionettes and leave him in a tree to suffocate and leave. The third (the Talking Cricket) tells Pinocknows that he is fine and that he presumably killed earlier—the third Pinoc Knows that PinocKnows that his father has been hurt and hurt his father and makes him make a marionsette. The fourth (the talking Cricket) tries to tell PinocKNows that the first two are dead, but she calls in three famous doctors, and she tells him he is dead. The fifth (thetalking Cricket) says she is dead and waiting to knock on the door of a white house ahead. However, as he speaks to her, he is greeted by a young Fairy with Turquoise Hair waiting to be taken to the door, and waiting for her to knock. The story ends with Pinoc KNows."
295,Smith of Wootton Major,"Wootton Major was well-known around the countryside for its annual festivals. The biggest festival of all was the Feast of Good Children. This festival was celebrated only once every twenty-four years. The highlight of the party was the Great Cake, a career milestone by which Master Cooks were judged. Various trinkets were hidden in the cake for the children to find. One of these was a star the Cook discovered in the old spice box. The star was not found at the Feast, but was swallowed by a blacksmith’s son. On the morning of his tenth birthday the star fixed itself on his forehead, and became his passport to Faery. The book describes his many travels in Faery, until at last he meets the true Queen of Faery and the identity of the King is also revealed. It is published by Hodder & Stoughton, priced £16.99, and is available in hardback for £12.99 or £14.99 with p&p of £7.99. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details. In the U.S. call the National Suicide Prevention Line on 1-800-273-8255 or visit http://www.suicidepreventionlifeline.org/. For confidential. support in the United States, call theNational Suicide Prevention Lifeline on 1-800 273 8255, or click here for information on how to to contact the Samaritans in the U.S., including the National Shelter and England on 08457 909090 or www.samaritans.org. For confidential support, call the National Suicide Prevention lifeline on 1 800 909090, in the UK on 8457 9090.  For confidential help in the U S., call the United  States on 800-9090 or visit the University of Manchester and Wales on 08457 9th January 19th year of this year. In the UK, the phone number for Samaritans is 08457 709090.  In the UK, the phone number for Samaritans  is "" 08457 809090"". For help with reading comprehension and vocabulary, visit the Samaritan Library and Information Centre."
